lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
-85,-88,-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.4341485520122,585.0116458646735,0.0,8594.28439136713,11956.460122642173,9894.796046091538,9722.453035498495,937.0893683257001,6295.24290553148,3956.371891269837,710.0775373922445,195.17727242670242,397.6413383509676,892.8929807167498,1368.9808693543582,3115.5343727074314,1779.9041112418565,104.25284083491178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16601.76572982845,11320.946983318638,24797.51676855008,16710.6943385641,0.0,38499.84619398474,53384.301394833354,65100.70450578259,47817.58477894952,47658.16090245145,36858.602392874265,5140.431845276262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.95607653556644,1908.6814933513438,3380.761626321296,13028.173682306533
-80,-83,-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0999777721972,3726.464358847353,6417.265268409974,6524.182913045237,12621.332841284297,9203.21730150444,3549.4632417968546,14983.675808454795,14052.64678508439,14930.536585076381,6019.4922280691535,6590.202473295534,9664.058429644612,11582.841116380683,10610.884751094163,10924.205577263503,10512.652241073378,6095.635624604305,6609.293891410065,3829.2617167182048,187.46273898531373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38781.912804438216,51913.683136730884,68404.38895910842,78083.12876593696,108150.0039447941,116923.33688430332,110007.35932001744,64467.826628681236,39973.068249684016,31515.8024624275,31073.539911466192,25433.64403817575,44753.997643207505,45526.35238209027,36786.22809210674,13306.21031299575,8713.192228161242,3596.2352786564725,3679.0952744923516,2570.784871623156,5050.242152976449,13260.02582750428,16820.22104530948,19702.68683856672,20695.30788662195,21398.401578768437,25577.974353771606,27370.144592210967,27617.626734738915,19070.244700177358
-75,-78,-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.8884757271476,6883.247356976071,9549.230294162433,10076.327004448494,18176.92784844401,19589.916016172374,8269.587372958522,1647.378261287193,0.0,549.3741558504112,1893.117186034043,8440.366790396602,17870.241293240615,25970.267527572083,22160.530418638045,21291.67273983555,18515.15538816998,15821.574561802441,12889.14402024359,4459.307412580482,8518.781710051016,6410.590292452531,261.8485159340548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47484.51181694743,58383.59118545253,93242.69971357178,84647.78882200057,56754.880997107946,33627.04388705622,10389.22384145569,13070.922318731627,8071.740604053782,9423.33395280725,32132.889266312242,29478.0801991511,29769.096467871685,27811.399434991305,22381.457036956388,24197.437445840827,40152.115447731405,40169.67173803581,40171.962606928864,38191.31714331072,36157.253462420485,34459.13196386268,25370.039920788022,21578.938085349484,19413.109747793682,18186.95643295724,17308.85684948624,15830.172284967539,14490.736554673913,16259.005430460908,18095.843806836874
-70,-73,-75,0.0,0.0,0.0,0.0,0.0,817.4381840702775,6.402580320270994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.147645217517685,4334.629469711906,11661.946147676084,13116.8903753883,15521.467207154295,13191.076726450601,19512.833416370995,23503.178304756308,18933.99909363589,15349.097919132926,19548.288868245636,15517.478155186156,8116.765868874704,11625.530994890845,14149.947865460797,19329.917798312603,11358.928408185691,2307.990544365747,3604.75428423601,3915.116539304039,4431.671030691082,4955.415058903288,5610.031432376532,8433.452211086525,4065.290788439612,7639.425339638953,5809.612566200832,2233.1310242211252,136.59248886816133,1143.4677821440616,5640.569411702223,9661.636036190288,14077.22925655779,16909.895040281717,15676.164983818835,17059.84907552833,16274.070531980562,16305.165890336024,16311.719991570228,4728.717777979028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.51847747511457,326.8117879449245,79772.65804936037,107354.08150153769,100011.07272695296,53196.33172689193,41207.36188059567,37417.94293625562,40614.73680204024,30818.16438018266,13161.09896342879,6112.029516415797,10640.329643455738,353.4958594082187,207.89237605548436,13562.039998079876,24357.47107528115,28238.74743629435,26850.003544066014,25764.759838853595,25233.68194798119,25244.002476024896,22652.560859978177,19163.36905616038,20910.783388872413,22789.435027785697,22743.772983795665,21669.72190237526,20662.02774702864,19750.579662065596,18758.59916079779,18678.69145400787,17098.052253135924,12467.219192019795
-65,-68,-70,0.0,0.0,0.0,0.0,4019.8622000006703,11120.454108712995,9921.763763701365,6287.089428869172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.5650969115883,6857.133570428452,13082.063154162286,11607.864456041163,20833.32034529736,25155.49663649789,24500.420374593756,19905.81231186603,7191.416320190881,0.0,615.4972510491065,4480.693430603773,13443.042287199722,19518.003492145304,16188.523043560368,12105.812734240775,897.889712110984,0.0,0.0,0.0,92.59764333702184,672.2344246255003,1811.3887657235036,3332.249933562077,4949.663693676721,7107.290786488273,3333.188360613137,7959.866323947711,17157.955716676428,54482.65780007536,53471.28234629309,52355.14805372248,16415.05406605963,21369.267086303666,13831.183386288261,6219.4246630094085,4142.163774541721,24663.36479661025,24012.735597950643,23385.577854661864,0.0,16120.353029081889,3684.2604167021736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5035.217063963864,180623.0793735687,174109.67556559065,162128.5438120708,113634.22937056271,52943.23079245206,41905.96938914591,56993.40625579804,73923.25137639607,74480.968673816,47285.69891763141,39656.20754196254,7765.075118701281,52170.937101447766,12946.406471482253,11245.88559118528,10897.703963771819,6438.161078794704,2055.802216623322,3472.667372525502,8818.958484344092,14952.470899828631,16813.76799113202,19456.834132214753,21389.6648395069,23576.81601442807,21180.806075519475,17438.26339725112,15454.64118041176,13597.993243432544,12584.365380052988,11617.45649160245,7779.07080291423,3694.0164153415926,0.0,0.0
-60,-63,-65,0.0,0.0,0.0,7320.106846202748,14995.468706502681,14605.949653689348,13062.584307788471,12576.1343456992,6860.850229431388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.53339392364506,7457.633759235318,10901.552965686675,3689.787091874991,11829.365976423322,14000.202340031141,13555.49571734656,5517.595345262821,399.9080272814762,0.0,0.0,0.0,0.0,0.0,2122.0674647380984,348.0310204515319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.35273128794728,1712.5143920056641,4471.304609971805,4392.841683362985,44456.27852190101,38638.05807501167,132297.30057681238,96914.00135020663,138497.38984323727,138695.0383318816,140709.1894885801,116549.26269189932,95300.5929370692,85349.95565321665,75809.94896825525,74174.77350172095,72591.63260378705,59041.05039370807,22717.747651379537,502.23523147170073,12292.849553417827,6245.313979016818,1511.041835718491,0.0,0.0,0.0,0.0,0.0,0.0,3094.2412175679965,94288.61525369415,171551.82526227445,34941.47026295147,39161.44881865029,49946.43043983183,39652.816936787305,28799.36438622419,113619.52837838038,160144.30111795323,126666.77288029237,145216.23059400162,107546.15134728464,87568.2651296968,105857.50969076544,94684.91306764845,71204.24665114112,50503.62525966052,46288.456778220774,30869.33024173565,15634.484786042229,32565.366553115247,33392.495733590564,25156.95569247722,5151.593701533928,166.26949992701415,0.0,1933.7457560372238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-55,-58,-60,0.0,0.0,11031.447646844144,19004.58985087459,15221.364810636462,7085.961749293622,9688.080393617063,12879.084074400027,12565.822403323398,5071.661495665011,457.3444130077941,0.0,0.0,460.4353068701236,0.0,0.0,0.0,0.0,2096.262630849284,7115.640554965323,9873.12819306512,3406.0723496533437,10630.089974997489,15836.13019922053,12205.471709753114,268.04867487237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.9349288564564,22491.754532090985,134742.93377564527,216197.45658796135,316234.3218026983,314891.2078131276,315557.33939210814,311259.6026558481,302968.8513114771,237243.79531267215,171818.64692015923,173103.97707981066,154657.3157967978,149459.54639953838,144598.34561031824,80576.27610455683,73898.59913896804,56665.769613926765,4117.05520462561,2100.1648228927193,14931.176447086444,16100.621656066009,9656.71954844308,4917.543807158257,934.4623047536438,6330.596046726029,13560.681806740144,0.0,128461.49901482767,57718.67431162851,44524.86524673581,32204.072757045244,31867.16749804289,91523.8583205848,119873.05645962575,127202.80410752364,133346.22355151054,133656.61937667127,138770.53399711914,164149.17340013033,160348.86056142353,146038.0923429114,149418.20390015625,90501.41695994986,60151.71697693855,58517.621303864915,55825.61810225665,48333.052571667686,40847.107701060995,28133.65603462574,27844.315982891545,26275.449539032583,35567.088102780035,34300.49583230587,16443.05600271564,12303.05905289346,8880.42105210807,1908.400204317715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-50,-53,-55,4309.210290814365,18970.385606279306,22278.62695442753,9388.607115820125,389.0877981339043,1042.3823984161602,0.0,0.0,11434.943112956285,13402.97426177278,13328.791061978194,10093.588301700685,10418.579281298618,10995.365507232456,8754.149327336287,5919.877942753173,5467.415568932343,4818.418715857015,8781.76323020783,9486.495218701173,3780.324256375855,6304.324475489309,18113.97254261017,9850.448090134742,0.0,0.0,0.0,0.0,0.0,5011.6682930787165,4506.497996735338,3523.482317028944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.14709047852583,3182.9621441005634,136291.1657911016,422358.7166829626,414229.69747258414,334778.7451556157,317625.2411665974,359265.7040605218,355688.64221605123,350100.5072504913,357543.4124717573,291640.81699557224,285744.6009261144,253958.8576372964,251492.8596438222,248881.51792462237,148980.59788667987,140349.1047747227,77944.13091477679,85027.30867433829,65742.38397350855,48249.74164357836,36822.87023932494,0.0,0.0,0.0,410.71884677750626,41680.182473996465,63105.18556371786,38864.95157484604,51606.55163811129,184920.78596412783,146683.92624489227,125792.51175499133,131109.95621682244,128078.87794528526,119259.68558880824,498500.15796822344,426307.1915603732,386825.6447614308,308296.7382336007,205946.9891036654,232072.6401695834,248564.30511386436,193845.02944462773,139422.31860126482,143080.663207165,147113.58887830935,148997.55342831745,156823.32136656914,163934.62240383372,141489.09785157576,110948.91699996212,81477.10345394076,68022.14193560884,69237.03384448349,65259.58079377683,59067.68758394906,47353.78006015814,31638.280066065694,19789.199893050543,14183.67779331211,8069.973853347792,1918.7482421199566,0.0,0.0
-45,-48,-50,27152.560490415406,29939.932646125046,26106.880805846096,22948.28478710048,25214.262485169806,30411.464990673037,25104.379469627376,25236.873902305346,18244.011203862035,36118.84882558698,43820.05827899923,41449.25186506405,23699.37809689063,15836.677404751063,11481.463206060569,9923.99064930877,9565.650470236986,9386.538215644588,10305.159729911938,5667.550048485634,3127.7530700268558,19262.835236423052,11492.040853869727,0.0,0.0,0.0,0.0,5047.852127407402,11936.93444389076,52590.96678074682,41254.84791877418,31487.777659137184,7938.62246803252,4459.726307581681,477.6689666744254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.71321006915408,539.1379376529877,24459.634490528006,102574.99751619401,483240.2290051169,332219.22336478607,348426.45463680895,263565.2247811136,256349.40778479425,212026.340429453,178921.2623177624,256982.16066937562,189957.42951532383,265259.5818581522,260396.54782627762,273907.29258897674,263473.2874365915,251577.24311831975,303134.5540724586,231287.10291481385,138843.51756276653,120325.78273029168,70622.09792238298,67254.6170391234,61003.84925797536,77621.07488440583,62996.92371820564,50287.859933193715,71471.26215087748,45842.26989178101,65118.8881602695,263011.32025998406,541918.8454913989,810599.1820474477,734670.5319863345,651440.7710251386,639202.4344707449,564918.1279090076,856148.9230674951,279346.72318339424,403059.35490265803,453171.2989653218,474826.15447378915,499197.4419014125,479161.91711208934,455936.5809760944,675819.6777706612,707526.3348944255,701492.7409895821,693117.6384872439,664968.980655458,675829.9327290121,677410.979185252,656834.9514991179,608380.4713439827,546339.4397140546,412160.8194105333,268461.80076827033,94261.8873482988,69362.86622457346,73731.39840941186,56570.650555799555,43771.35173860395,40473.726978752675,36994.54474557884,31697.99552464991,20604.473927182687,12015.188108995248
-40,-43,-45,47831.54591415226,51126.82563867031,47817.94628634932,57753.277819048766,65299.273701987135,65741.94642575512,67662.05887617392,58714.09991417284,38095.66436568313,17084.723863828465,11966.00718551925,15928.252847862932,32514.973896642317,36491.90927522113,34827.742416826084,11354.415037057426,9443.599354875509,9628.552777272465,1919.710134590785,233.42566665495363,19349.36138572241,15460.228241260473,0.0,0.0,0.0,0.0,55.266701082904014,39482.227025105436,104693.91679150249,101089.94688649949,99706.5937720028,97058.52936176484,90314.51727370932,44690.460550180076,11383.765447806069,4209.42110330105,3581.151779736244,0.0,0.0,0.0,339.4094788271853,1148.8984384935563,19138.93696470437,61384.32639013339,216268.1227654095,475686.0689640331,342103.700016151,243385.8918464013,92400.63715032801,4397.679385431963,3679.191417850829,3779.2780008744826,3761.6324873709686,3719.239289997652,88790.50175992708,53106.91746674967,46817.80784539039,70064.93509831774,67475.25300208882,64771.58313276453,167550.78858517046,229233.79244152107,268604.44861700974,203986.98537553786,166815.2692145415,132292.03715130762,122295.48430972383,67862.14827326969,60859.87290743113,54276.38201021206,75865.31297699522,135992.50731443634,132147.43573846397,903337.1083724324,1047105.576481341,1174663.681288503,1128252.9153890086,1075775.1625487858,1129667.6928998588,1457925.7884123058,911794.6063070006,828190.7001791904,883599.4792921639,859748.5765563522,771823.6293320016,690048.1545509032,691504.7777192569,683667.5288497615,859455.0175404175,1039975.8653811257,1019032.828573517,1279844.9491963873,1255926.9944596612,1199731.366457888,1111567.4070212264,1066029.8881950006,1028559.1829778159,983279.4255638031,859364.7330543565,774285.3314857339,617930.8156800981,368631.8177134882,226472.23592039532,116467.36127056566,91723.84743524794,60185.58228289476,41550.88131743305,34223.00634394139,35264.575452066565,34082.946123250644
